store_id,type,address,city,zipcode
0001,supermarket,Britanski Trg 12,Zagreb,10000
0005,supermarket,Meštrovićev Trg 1,Zagreb,10000
0010,supermarket,Aleja Javora 2A,Zagreb,10000
0013,supermarket,Virski Put 136,Vir,23234
0018,supermarket,Mirka Deanovića 19,Zagreb,10000
0037,supermarket,Maksimirska Cesta 1,Zagreb,10000
0060,supermarket,Hrvatskih Generala 5,Knin,22300
0067,supermarket,Ivana Meštrovića 21,Drniš,22320
0115,supermarket,Svilajska 20,Šibenik,22000
0130,supermarket,Ljudevita Gaja 29,Krapina,49000
0133,supermarket,Ulica Luke 54,Murter,22243
0154,supermarket,Hum Na Sutli 157,Hum na Sutli,49231
